N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
157,진원생명과학,"29,000",100,-0.34%,"1,000","12,943","44,631",7.72,"4,800,976",-98.98,-28.50,
158,KODEX 종합채권(AA-이상)액티브,"110,215",25,+0.02%,0,"12,895","11,700",0.00,"5,017",N/A,N/A,
159,KODEX 삼성그룹,"7,660",95,+1.26%,0,"12,869","168,000",0.03,"228,172",N/A,N/A,
160,녹십자홀딩스,"27,050",100,+0.37%,500,"12,721","47,028",7.27,"85,039",38.42,0.37,
161,SK네트웍스,"5,120",10,-0.19%,"2,500","12,707","248,188",12.20,"268,596",-43.39,-5.85,
162,한전KPS,"28,100",100,-0.35%,200,"12,645","45,000",14.63,"65,810",7.96,14.98,
163,메리츠금융지주,"9,390",20,+0.21%,500,"12,584","134,011",7.91,"10,975",3.11,15.26,
164,대우건설,"3,025",25,+0.83%,"5,000","12,573","415,623",11.30,"1,120,876",6.84,8.80,
165,지누스,"87,000","1,100",-1.25%,500,"12,534","14,407",18.81,"31,472",15.83,26.32,
166,KG동부제철,"12,500",50,-0.40%,"5,000","12,501","100,009",0.14,"14,109",13.03,-7.44,
167,TIGER 단기통안채,"100,655",0,0.00%,0,"12,489","12,408",5.87,549,N/A,N/A,
168,롯데정밀화학,"48,150","3,000",+6.64%,"5,000","12,423","25,800",23.88,"202,156",6.35,11.73,
169,현대미포조선,"31,000",100,+0.32%,"5,000","12,382","39,942",13.09,"60,131",20.72,2.31,
170,두산솔루스,"40,400",200,+0.50%,100,"12,358","30,590",8.00,"144,944",89.58,N/A,
171,KODEX 인버스,"5,400",90,-1.64%,0,"12,150","225,000",1.43,"23,982,924",N/A,N/A,
172,KODEX 200TR,"10,135",140,+1.40%,0,"11,615","114,600",20.22,"118,923",N/A,N/A,
173,현대위아,"42,400",300,-0.70%,"5,000","11,531","27,195",11.07,"90,986",18.29,1.80,
174,유나이티드제약,"70,700",0,0.00%,500,"11,485","16,245",12.53,0,36.84,12.79,
175,금호타이어,"3,895",80,-2.01%,"5,000","11,189","287,260",4.53,"427,063",-8.00,-3.30,
176,이노션,"54,800",600,-1.08%,500,"10,960","20,000",29.04,"29,245",16.40,9.88,
177,KODEX 코스닥150 레버리지,"14,060",70,+0.50%,0,"10,657","75,800",0.62,"8,677,416",N/A,N/A,
178,한국콜마,"46,450",100,+0.22%,500,"10,628","22,881",25.80,"164,232",48.28,6.39,
179,코스맥스,"105,000","2,000",-1.87%,500,"10,552","10,050",22.81,"36,432",27.37,10.45,
180,드림텍,"16,550",650,+4.09%,100,"10,277","62,095",21.77,"8,364,234",81.53,13.24,
181,신세계인터내셔날,"143,500",500,-0.35%,"5,000","10,246","7,140",4.97,"27,442",16.54,12.98,
182,후성,"11,000","1,110",+11.22%,500,"10,187","92,607",3.94,"25,943,138",-733.33,3.85,
183,KBSTAR 200,"31,705",520,+1.67%,0,"10,114","31,900",0.08,"52,387",N/A,N/A,
184,아시아나항공,"4,485",20,+0.45%,"5,000","10,012","223,235",6.16,"12,463,085",-0.91,-90.67,
185,대상,"27,750",300,-1.07%,"1,000","9,615","34,648",18.30,"183,815",7.42,11.17,
186,현대오토에버,"44,100",900,+2.08%,500,"9,261","21,000",1.31,"32,156",16.10,11.71,
187,쿠쿠홈시스,"40,900",750,-1.80%,100,"9,177","22,437",4.25,"32,209",11.98,16.10,
188,다우기술,"20,250",100,-0.49%,500,"9,085","44,867",23.59,"86,420",4.77,14.62,
189,DGB금융지주,"5,370",10,+0.19%,"5,000","9,083","169,146",45.81,"260,177",2.92,7.31,
190,코오롱인더,"33,400",0,0.00%,"5,000","9,011","26,979",16.77,"100,017",5.75,1.58,
191,영풍,"487,000","5,500",-1.12%,"5,000","8,971","1,842",4.32,"2,303",4.01,7.40,
192,코리안리,"7,450",0,0.00%,500,"8,967","120,369",27.17,"156,809",5.33,8.04,
193,TRUE 코스피 양매도 5% OTM ETN,"9,005",45,+0.50%,0,"8,906","98,900",0.00,368,N/A,N/A,
194,JB금융지주,"4,495",100,+2.28%,"5,000","8,854","196,983",38.99,"210,895",2.72,10.36,
195,롯데리츠,"5,070",10,-0.20%,500,"8,719","171,969",8.97,"106,907",58.95,1.64,
196,SK가스,"94,200",600,-0.63%,"5,000","8,695","9,230",8.70,"6,278",2.50,9.85,
197,일진다이아,"61,000",200,-0.33%,"1,000","8,664","14,203",2.16,"153,346",122.98,8.06,
198,CJ CGV,"23,850",100,+0.42%,500,"8,371","35,100",5.34,"400,848",-1.52,-57.60,
199,삼양식품,"111,000","6,000",+5.71%,"5,000","8,362","7,533",7.27,"97,464",11.12,23.15,
200,디피씨,"19,900",400,+2.05%,500,"8,294","41,678",1.51,"9,280,954",59.58,7.12,
